sha1sum,hopper1_kvm_patched_conf1,hopper1_kvm_patched_conf2,hopper2_vmware_conf3,hopper4_vmware_conf2,hopper5_vmware_conf2_vmtools,hopper6_kvm_legacy_conf1,hopper6_kvm_legacy_conf2,hopper3_vbox_conf1,hopper3_vbox_conf2,hopper8_vbox_conf1_guestadditions,hopper8_vbox_conf2_guestadditions,hopper7_qemu_legacy_conf1,hopper7_qemu_legacy_conf2
7a9494ffd710f8ca0c983f75de83519ea70f1286,1,1,1,1,1,1,1,1,1,1,1,1,1
e3d48353c25c1d395090b9035e884042ae47e3f4,0,0,0,0,0,0,0,0,0,0,0,0,0
ce26239485ec29db5d60c6dc9aa28be38905acee,0,0,0,0,0,0,0,0,0,0,0,1,0
f6a365054e2dac95f8c5f83c81ff7e4878993b1b,0,0,0,0,0,0,0,0,0,0,0,1,0
8101d10928b4e5734db9de863d20a1c59491c017,1,1,1,0,0,0,0,1,1,1,1,1,1
96294349fa01530d5b9998b799846e8774b0b642,1,1,1,0,0,0,0,1,1,1,1,1,1
9ca570098da1a04702d83efd277c6d7799973852,0,0,0,0,0,0,0,0,0,0,0,0,0
865c90f0acd50f576335717d205ac53074cdd690,1,1,1,1,0,1,1,1,1,0,1,1,1
c04637c41a4fc6fe9d94068d41fe263dc5d9eaf3,1,1,1,1,1,1,1,1,1,1,1,1,1
3d360130e3982fb38631c698c5c0fc4fadfa0e95,0,0,0,0,0,0,0,0,0,0,0,1,0
0460292a35fc2033c86e19db93180b946ee3cadf,1,1,1,0,0,0,0,1,1,1,1,1,1
628940a0e387e3d0c65cc2d4aa423e4d701e64fb,1,1,1,1,1,1,1,1,1,1,1,1,1
81b214e27c8df310e3687be54e3b70f65efe15e7,1,1,1,1,1,1,1,1,1,1,1,1,1
42e14e47370cd96329e146ed165a9ba285f93fea,0,0,0,0,0,0,0,0,0,0,0,1,0
d894a7aea1083ec60298386d201c9bc33dcc6c4e,1,1,1,0,0,0,0,1,1,1,1,1,1
2ad439cde49e567e722f8288a0ae6a151806593a,1,1,1,0,0,0,0,0,0,0,0,1,1
09e0c05c84f15ec522b3551c269da5f08d762253,1,1,1,0,0,0,0,1,1,1,1,1,1
884e9c8770cac24b500d01d984ca73746f0800b6,1,1,1,1,1,1,1,1,1,1,1,1,1
d91a6a61519df9720df3fc5040c467cdf3072acd,0,0,0,0,0,0,0,1,0,0,0,0,0
9a97883400aaacbd98cb60db83faa116474cc40f,0,0,0,0,0,0,0,0,0,0,0,0,0
d3834d45085217bed96173ec0ea635a50e91dbbb,1,1,1,1,1,1,1,1,1,1,1,1,1
1292461dcae8581084c154dfd6aa0454ed4010a5,1,1,1,0,0,0,0,1,1,1,1,1,1
ccdd48cfa3b3647650f9c4601c9ca5a38123ce8c,0,0,0,0,0,0,0,1,1,1,1,0,0
3b0998f0c253dbbff4a11981e523b3fc3456c92e,1,1,1,1,1,1,1,1,1,1,1,1,1
93b3417d9c82160f9a081361f32610dc3f387e1d,0,0,0,0,0,0,0,0,0,0,0,1,0
04cf4c5cf37a8da308b4e9b141964df3797b70c5,1,1,1,0,0,0,0,1,1,1,1,1,1
2f1c6a95706894012cd42738ee79e244dc3124be,1,1,1,0,0,0,0,1,1,1,1,1,1
4da6e5ae580543684f4b1988f61f0e9b248dafe3,1,1,1,0,0,0,0,0,0,0,0,1,1
ba3e4c936c59ceb1565246a3114a6313debefe00,0,0,0,0,0,0,0,0,0,0,0,0,0
4226a9286d8f19cc482956690920a2e68b8affa0,1,1,1,0,0,0,0,1,1,0,1,1,1
08ba3f71382e98519c3378a7a9246afcc8b98045,1,1,1,0,0,0,0,1,1,1,1,1,1
7228c0cce5059783508837d4c503801519fe794f,0,0,0,0,0,0,0,0,0,0,0,1,0
35fed79c749b46ffb0fa12427783f731c3e597d5,1,1,1,0,0,0,0,1,1,1,1,1,1
58d9bf8287df5ef7e27fb6f05909326721129248,1,1,1,1,0,1,1,1,1,0,1,1,1
75e6d977ca88ef92bc8f71df482169a7e1f5918d,1,1,1,0,0,0,0,1,1,1,1,1,1
b00ce97a1ffb828b83654a0042442c7aa2833c28,1,1,1,0,0,0,0,0,0,0,0,1,1
010d36a7e657af1ec0719c84618d2e3d8db6b42d,1,1,1,0,0,0,0,1,1,1,1,1,1
66fce60bf9e69f81eeaa7e65a40e53a07644877d,1,1,1,1,1,1,1,1,1,1,1,1,1
b9f8764161b08aa86531149658d564429daa84dc,1,1,1,0,0,0,0,1,1,1,1,1,1
5edc50762b26606234296c11cb7e30e050ff4d53,1,1,1,1,1,1,1,1,1,1,1,1,1
9db0e6ba88e7e2dc9cb7dd41fb2710b98590767a,1,1,1,0,0,0,0,1,1,1,1,1,1
1b2990b7a6000399b4e953dc0380d67f66709562,1,1,1,1,1,1,1,1,1,1,1,1,1
27b091461fec56aabe24eb88885b799ee5fc265b,0,0,0,0,0,0,0,1,0,0,0,0,0
5c3d097caa616aad4e454cf219367605f52a6e64,0,0,0,0,0,0,0,1,0,0,0,0,0
93b820cfc60b65621cae3f2c37c5c6abcf98f68f,0,0,0,0,0,0,0,0,0,0,0,1,0
54d567227082e9e9805460ec3d545c8d430ef142,1,1,1,0,0,0,0,1,1,1,1,1,1
cec9cd5e5a829487c3ddf669e361f825a1b3100b,1,1,1,1,0,1,1,1,1,0,1,1,1
b082d669b0fb96b8def9e07a10c3f5a5df63619e,1,1,1,1,1,1,1,1,1,1,1,1,1
17908e5016241842edfd168fc3045816ff42d048,1,1,1,1,1,1,1,1,1,1,1,1,1
54f075a81bdc2f3450b097e3a2677e29b0e8dcc7,0,0,0,0,0,0,0,1,0,0,0,0,0
98195f56f24f84b650904cf1dfcd8f5072f62939,0,0,0,0,0,0,0,1,0,0,0,0,0
362acc7e28199b924b4c7b8627c500d4d63bea84,0,0,0,0,0,0,0,1,0,0,0,0,0
779b19207390cff1bf98c4ed72077e4ba55153a6,0,0,0,0,0,0,0,0,0,0,0,0,0
1c3b706051d3624bd724ca8e99a4c8452a466786,1,1,1,1,1,1,1,1,1,1,1,1,1
d9508559bbb1831ff9a7053558b0afcf9400909a,1,1,1,1,1,1,1,1,1,1,1,1,1
6e6f696b600fc6e3e9d72b75d14b6a47280e6270,1,1,1,0,0,0,0,1,1,1,1,1,1
cdc5bb93c6a8e0cd5aae4e620fe86f59205d6148,0,0,0,0,0,0,0,0,0,0,0,0,0
7098b109824398c36342cd7d256219772ecec4c7,1,1,1,1,1,1,1,1,1,1,1,1,1
c89711a3bf546e76943710fd34748b77c6e57648,1,1,1,1,1,1,1,1,1,1,1,1,1
dcc60f2efeb4b8452a4a5612c555fb6d1f913281,1,1,1,1,1,1,1,1,1,1,1,1,1
160969e2e80b24f81d1edb0c56b4c22ecf9b53bd,0,0,0,0,0,0,0,1,1,1,1,0,0
2638747d952a1357f04c03005ff3603bec483020,1,1,1,1,1,1,1,1,1,1,1,1,1
c7d87e67d6abf23a7baceb17998992a2ca3495cf,0,0,0,0,0,0,0,0,0,0,0,1,0
dc878a10221246c4ab2509f37e6390de7f7566da,1,1,1,1,1,1,1,1,1,1,1,1,1
0139366876ae1a8f17767bb6c2b9d98b3f96b06c,1,1,1,1,1,1,1,1,1,1,1,1,1
213f261430386960ffb44fddb77947340bc30080,1,1,1,0,0,0,0,1,1,1,1,1,1
974b6c07e91249f6d8b42560e5596c916467b345,1,1,1,1,1,1,1,1,1,1,1,1,1
aee3dfc987eb85038fb25ea4a5faf49f24e1e2be,0,0,0,0,0,0,0,0,0,0,0,1,0
0e935469f2a6284cb568ad7a2c8fd23bb9c76b8b,1,1,1,1,1,1,1,1,1,1,1,1,1
dbc33de2bb025b1d3fb170be1a2f0b5f0cac0ccd,1,1,1,0,0,0,0,1,1,1,1,1,1
e88072f1055e189a1b80b79152710c630d0a0ac7,0,0,0,0,0,0,0,0,0,0,0,1,0
a842e25cc42ce4abe5fb934a3029dae81b266af7,0,0,0,0,0,0,0,0,0,0,0,0,0
c52da4c4bbdbae3313155a725de64acd3f546fd9,0,0,0,0,0,0,0,1,1,1,1,0,0
f91f1ca009e49c074fbca3df6f241080dbc712b3,1,1,1,0,1,1,0,1,1,0,1,1,1
61bf5229cdf5f669e32903c6905a2231b61a62bf,0,0,0,0,0,0,0,1,0,0,0,0,0
3459e0ffbc2b78bc464d08eed720076759bd77a2,1,1,1,1,1,1,1,1,1,1,1,1,1
75d5af57e813edb58dce49d89fff7f4eed7810e1,0,0,0,0,0,0,0,1,0,0,0,0,0
155133b20f68a45fb7251c8ba189fa1eb6106439,1,1,1,0,0,0,0,1,1,1,1,1,1
a687de5aaf93864a610a432de4603e5674ce6e93,1,1,1,1,1,1,1,1,1,1,1,1,1
040299c4d37756b00c8130bb2d4bdb77732a6a6e,1,1,1,0,0,0,0,1,1,1,1,1,1
d03e5573d4ff30f1613480ebd5b011de9c4a6ea8,1,1,1,0,0,0,0,1,1,1,1,1,1
52491eb5472bd31048ec1da8938d78bd52b7613a,0,0,0,0,0,0,0,1,1,1,1,0,0
0e86fccca6bfe969930c4f110c9815c34fe1ae6b,1,1,1,0,0,0,0,1,1,1,1,1,1
91e92810d3d5c20ae8c208944b2f7461eda67d42,1,1,1,0,0,0,0,1,1,1,1,1,1
b704e126e16d1c1c91c1d1339584a86c4336fd1f,1,1,1,0,0,0,0,1,1,1,1,1,1
23ec936a5b93f77e4e57b92e17f0e89119840de0,1,1,1,0,0,0,0,1,1,1,1,1,1
2b07f99c27a625b23135dc6193ae8cf251d652e8,1,1,1,1,1,1,1,1,1,1,1,1,1
31d1dd829edcf0add95216a31f81851c19dd42b4,1,1,1,0,0,0,0,1,1,1,1,1,1
08cc15ba3c0ef31d9f06a921e0748db569eda853,1,1,1,0,0,0,0,1,1,0,1,1,1
4953d2c6731df8569cce94a7d6c765430205f309,0,0,0,0,0,0,0,1,0,0,0,0,0
bdfabd4b41afa80f487ee774a2abff561f2e5ed6,0,0,0,0,0,0,0,0,0,0,0,1,0
905a4636630a16bf54bf1d65b0753e8d51d342be,0,0,0,0,0,0,0,1,0,0,0,0,0
e491fbdb0e7de4b928f9c84251ce7feddd3cf26e,1,1,1,0,0,0,0,1,1,1,1,1,1
da21753c915b94220e71a32fc21b7d3943e60710,1,1,1,1,1,1,1,1,1,1,1,1,1
ad3c032fe72caad6c57527f662a46e779c2d3ea4,1,1,1,0,0,0,0,1,1,1,1,1,1
dc5b04d357ba36fc89d2a48e06f199f01975c16e,0,0,0,0,0,0,0,1,1,1,1,0,0
63550127ae5019e34685e2795d68877767f0c13d,1,1,1,1,1,1,1,1,1,1,1,1,1
10a9389c8a529a415d576bc07b85d15d96674085,0,0,0,0,0,0,0,0,0,0,0,0,0
d94fad0349e6c57003ba367abc3d0b384a023357,1,1,1,0,0,0,0,1,1,1,1,1,1
965b3fc44b882ff00be56b7740d2c68f136166e0,0,0,0,0,0,0,0,1,0,0,0,0,0
8aa23e8130dfbd46db542915cc82bd3a636f53cf,1,1,1,0,0,0,0,1,1,1,1,1,1
9b9ecc49821fa00baa17d25e9788263d12fd028b,0,0,0,0,0,0,0,0,0,0,0,1,0
ee7a0d99a62d599e28d34b175e1cbd7d1c1fa09e,0,0,0,0,0,0,0,0,0,0,0,0,0
75320ff2276b55834a043d586951c24dbd57ee57,0,0,0,0,0,0,0,0,0,0,0,1,0
fd6e988b51203c733d385ec5919aeec70ce01691,0,0,0,0,0,0,0,1,0,0,0,0,0
ada547bcfa1afb9363799d424b0dca0839017984,1,1,0,0,0,1,1,1,1,1,1,1,1
e6149ae2f4481876f82cedd3a7a4687a76dedbae,1,1,1,1,1,1,1,1,1,1,1,1,1
aeadd7c24b29d03b16fd7e7ce5e8e9de33658b1e,1,1,1,0,0,0,0,1,1,1,1,1,1
55027c0eec161ce4684f34cc361f0013d4b56b88,1,1,1,1,1,1,1,1,1,1,1,1,1
89477c39ff864039b3b2d6731f603fa755ac1a18,1,1,1,1,1,1,1,1,1,1,1,1,1
abc5ffdfcdf2c9b323a80b32476688974f73acd9,0,0,0,0,0,0,0,0,0,0,0,1,0
63a2516b6c1b5138c5e31eedff7bfe81ad5d4192,1,1,1,0,0,0,0,1,1,1,1,1,1
97b90705272af3e9ed71c2e8f8fc7c5e30e3ee4f,0,0,0,0,0,0,0,0,0,0,0,0,0
5576df0e7284de0e8894f09eb2f1016ad12034a0,1,1,1,1,1,1,1,1,1,1,1,1,1
35f078dbda7d27ba13548e76e5b541dcca6e5b88,1,1,1,0,0,0,0,1,1,1,1,1,1
08c8ddb10d0140bc6c0259c59920031122d6c3a6,1,1,1,1,1,1,1,1,1,1,1,1,1
170a6f75e536d7e8d8b59ba8cb68d2c9508316af,1,1,1,0,0,0,0,1,1,1,1,1,1
22026b24ffc39db3c57605a58154c7e64dc3f539,1,1,1,1,1,1,1,1,1,1,1,1,1
a408b97bf813eea6af864dc0c9687f3db5120486,1,1,1,0,0,0,0,1,1,1,1,1,1
dc8bdcbd31621d49a31670b69a6cf7665c889d93,0,0,0,0,0,0,0,0,0,0,0,1,0
785d234990a814df8c30f5f6d52d68eeff84f7a0,0,0,0,0,0,0,0,1,1,1,1,0,0
9a500f554bd69c148ea11ddcc127450182601006,0,0,0,0,0,0,0,0,0,0,0,0,0
a75090205c466473334569bf3abe4d5c38b56359,0,0,0,0,0,0,0,0,0,0,0,1,0
b5ce6a06efa571ba3cc3505c535f11a2529e1317,1,1,1,0,0,0,0,1,1,1,1,1,1
d6801695019e3d9d91cdd0c6631fc14353f45892,1,1,1,0,0,0,0,1,1,1,1,1,1
1746c958b5decfbe4ac37f39acc0ba71941caa7e,0,0,0,0,0,0,0,0,0,0,0,1,0
5e5606e87b84d0a7e164f43a5f39521879e3eae7,1,1,1,0,0,0,0,1,1,1,1,1,1
04075df74966b1087c761b7ff87f935e6a33190b,1,1,1,1,1,1,1,1,1,1,1,1,1
76b8bc7a569a85372be7cde7b0c840620ab04d2d,0,1,0,0,1,1,0,1,0,0,0,0,1
5084b38dd3d17559b7a84879ef42907be4e83bfd,1,1,1,0,0,0,0,1,1,1,1,1,1
2cdc04191ac57750e365b21b107f20a55395d2e8,1,1,1,0,0,0,0,1,1,0,1,1,1
9784635f72222f6a8f9d74c0bd939faf5787cc7b,0,1,0,1,1,1,0,1,0,0,0,0,1
015f1b8e65c4899cbaf78aa749c9336fbe274de6,1,1,1,0,0,0,0,1,1,0,1,1,1
a9f42d14f61a132bf37165e494667c40ee9ef150,0,0,0,0,0,0,0,0,0,0,0,0,0
72fa0a3507639ead4d995b626c81053cc7afe5c8,1,1,1,1,1,1,1,1,1,1,1,1,1
ef2d03827b774ce09951bb16fb06a82e9328d3f3,0,0,0,0,0,0,0,1,1,1,1,0,0
9344853e5ce88ce0f8a23ac14a3e53165d2841ff,1,1,1,1,1,1,1,1,1,1,1,1,1
e57c9e6bf58f9032db69c9bf99b3a17324114016,0,0,0,0,0,0,0,0,0,0,0,1,0
53dd685f93aa5db346c8ad732deead3f17ea30d6,1,1,1,1,1,1,1,1,1,1,1,1,1
922534b3617fa1224541ada3fbc71f937b270feb,0,0,0,0,0,0,0,0,0,0,0,0,0
655fb99b4334333406e11eb3b1708780d8e11a82,1,1,1,0,0,0,0,1,1,1,1,1,1
688b306241ead4ded515d582506e125d013fc173,1,1,1,0,0,0,0,1,1,1,1,1,1
271af7f81dda9a7166932c90fac8794fe9f80d5a,1,1,1,1,1,1,1,1,1,1,1,1,1
0772fa711c2b77c20947259214a56fe81229c511,0,0,0,0,0,0,0,0,0,0,0,0,0
132132e02af63416e4b8c94596a28f648b05b13e,1,1,1,0,0,0,0,1,1,1,1,1,1
3b17e7f33fbde3df4f58278b7c103a0656c93e6d,1,1,1,1,1,1,1,1,1,1,1,1,1
69665f618269395b681aacf8ff13f0f674d5baa3,1,1,1,1,1,1,1,1,1,1,1,1,1
dffa8305fb24ebdefab727db48b5b93c1cb5df4d,1,1,1,1,1,1,1,1,1,1,1,1,1
86a0cb90b8ea8f13cf1b3d87ef9a749de022060b,1,1,1,0,0,0,0,1,1,1,1,1,1
22a6fd1667721400d3ca08528a81edd0ae75b79e,1,1,1,0,0,0,0,1,1,1,1,1,1
484f889d4af926ade40353a6ed44f72685fd4bd1,0,0,0,0,0,0,0,0,0,0,0,1,0
d2e6a677d321ad9ec174e245484fbff7be855c0a,1,1,1,1,1,1,1,1,1,1,1,1,1
cb065701452ca9997fdfa6675e379d9d9408ba50,0,0,0,0,0,0,0,1,0,0,0,0,0
dd56b8a472d2ad219b5448ea3cecc3de3d2efb78,0,0,0,0,0,0,0,0,0,0,0,1,0
9b104977205f44c42dd4e1a8546aef0fd0b093d5,1,1,1,1,1,1,1,1,1,1,1,1,1
f8bb2547fd6a20713e0e88308b97915e6ca19b5f,1,1,1,1,1,1,1,0,0,0,0,1,1
1cfb8e9dd5ec2035ddc140d2cd21c5b9213c3cee,1,1,1,0,0,0,0,1,1,1,1,1,1
e0aa350cb15f01429051f40e9855f02e299b31e6,1,1,1,0,0,0,0,1,1,1,1,1,1
cddfd01b696cb7a204aef39b41eb5b46dd92144e,1,1,1,1,1,1,1,1,1,1,1,1,1
66e2dc86a6c7438d4a8458054a90bf6667bdb4fa,1,1,1,1,1,1,1,1,1,1,1,1,1
2590508e94bbca3d1e2f03e4e3c016d0ac2dc905,0,0,0,0,0,0,0,0,0,0,0,1,0
082840bcf4ac1d86960384eeb93f0a6107f70783,1,1,1,0,0,0,0,1,1,1,1,1,1
9cb481c93b43732083bdd237c0988c10ac3bd04f,0,0,0,0,0,0,0,1,0,0,0,0,0
06ba4f51c54643c3b57f4d7e1bf66a4e32ef07b8,1,1,1,1,1,1,1,1,1,1,1,1,1
61b0b5669ace25f19310ff6f3147ff29337fdfd8,0,0,0,0,0,0,0,0,0,0,0,1,0
825394d29beb54ab1d60c3ae9301f31e1e176509,1,1,1,0,0,0,0,0,0,0,0,1,1
3d73f65d9ef6e724dadaf7ca4683b4a408c92355,1,1,1,1,1,1,1,1,1,1,1,1,1
f2e3e8d5b5076d7f9935bd7e7f5bece5d70346c3,1,1,1,0,0,0,0,1,1,1,1,1,1
2e3a1e9bf4240103ee1a1dece6198429bff5353d,1,1,1,0,0,0,0,1,1,1,1,1,1
a1104fec1f76f3360d447e0dbb0b3972253e3414,0,0,0,0,0,0,0,1,0,0,0,0,0
79b0624a2d0a3fc4d927984b360e1ced2bb7cd94,0,0,0,0,0,0,0,0,0,0,0,1,0
4514da60f606bca6826ab53aee277f1877ab2ff2,1,1,1,1,1,1,1,1,1,1,1,1,1
b0b90d5852d38612d7cac26df1a592fcb1db0da0,0,0,0,0,0,0,0,1,1,1,1,0,0
ef1afeff1f676c1d89786722ebb0429a4ebdb4ca,0,0,0,0,0,0,0,0,0,0,0,1,0
8de854e3f9a474fc4ff7483a73940779e4aeb5eb,0,0,0,0,0,0,0,1,1,1,1,0,0
0f0d72891cd2a2a8018115e9c5a63c96279d9343,0,1,0,1,1,1,0,1,0,0,0,0,1
5ead268a69e14b43feddf3f54baff0f0ca2ce665,0,0,0,0,0,0,0,0,0,0,0,0,0
8e659dde3865d7e5a5746e16d089aa5d8da88c9b,1,1,1,0,0,0,0,1,1,1,1,1,1
ae4240d8c8f61cc5699aede20b0be979452d099b,1,1,1,0,0,0,0,1,1,1,1,1,1
3a6178c489f724913171c723b823bbf494e25474,0,0,0,0,0,0,0,0,0,0,0,0,0
6a7b2a590213d9fc075ea53f9e48f87dba85781e,1,1,1,0,0,0,0,1,1,1,1,1,1
6a60466935e58e18dbd80f42cee4d9455a4a4de3,1,1,1,1,1,1,1,1,1,1,1,1,1
0eb9892de2c0290a0112c1d7849a0f727839dadf,1,1,1,1,1,1,1,1,1,1,1,1,1
6734871193a889552253d32273417838ff60ad5f,0,0,0,0,0,0,0,1,1,1,1,0,0
d824dfd181ca776adc19b768e3173b8ec32db9f0,1,1,1,1,1,1,1,1,1,1,1,1,1
72c2d3a542e06a637ac970a34bc3daa20d581ec5,1,1,1,1,1,1,1,1,1,1,1,1,1
93deb2a36fc5e94c2a55fcabcb00f8a53ef4c253,0,0,0,0,0,0,0,1,0,0,0,0,0
